AFAP1L2 SULT2A1 24.0
AFAP1L2 TDRD1 14.0
AFAP1L2 TGM1 14.0
AFAP1L2 THBS1 14.0
AFAP1L2 TLR1 21.0
AFAP1L2 TLR10 21.0
AFAP1L2 TLR6 19.0
AFAP1L2 TLR7 19.0
AFAP1L2 TNFRSF13B 13.0
AFAP1L2 TRIM69 14.0
AFAP1L2 WDR74 15.0
AFAP1L2 YAP1 14.0
AFAP1L2 ZBTB32 16.0
AFAP1L2 ZNF365 17.0
AFAP1L2 ALOX5AP 12.0
AFAP1L2 CA12 8.0
AFAP1L2 CA2 10.0
AFAP1L2 CAP1 11.0
AFAP1L2 CARS 11.0
AFAP1L2 CCL3 10.0
AFAP1L2 CHL1 9.0
AFAP1L2 CLDN1 9.0
AFAP1L2 CLTC 12.0
AFAP1L2 COL9A2 11.0
AFAP1L2 DSC1 11.0
AFAP1L2 DSG3 11.0
AFAP1L2 EGR2 9.0
AFAP1L2 EIF3B 9.0
AFAP1L2 EZH2 10.0
AFAP1L2 FGD2 12.0
AFAP1L2 FZD2 11.0
AFAP1L2 HIST1H1A 11.0
AFAP1L2 HIST1H1T 11.0
AFAP1L2 ICOS 9.0
AFAP1L2 IFIT1 12.0
AFAP1L2 IL1B 11.0
AFAP1L2 KLK5 12.0
AFAP1L2 KLK6 12.0
AFAP1L2 LAMC2 12.0
AFAP1L2 LAPTM5 11.0
AFAP1L2 LCN2 9.0
AFAP1L2 LITAF 11.0
AFAP1L2 MAGEA12 12.0
AFAP1L2 MAP4K1 9.0
AFAP1L2 MGLL 10.0
AFAP1L2 MYLPF 11.0
AFAP1L2 NFKBIA 10.0
AFAP1L2 NUDT3 10.0
AFAP1L2 NUP153 10.0
AFAP1L2 OFD1 11.0
AFAP1L2 OSBPL10 10.0
AFAP1L2 PCK1 9.0
AFAP1L2 PDIK1L 12.0
AFAP1L2 PIK3CG 9.0
AFAP1L2 PLA1A 11.0
AFAP1L2 PMEPA1 7.0
AFAP1L2 PSTPIP1 10.0
AFAP1L2 PTPN6 12.0
AFAP1L2 PTPN7 12.0
AFAP1L2 PYGL 11.0
AFAP1L2 RAB38 10.0
AFAP1L2 RDX 11.0
AFAP1L2 RGS1 10.0
AFAP1L2 SELPLG 11.0
AFAP1L2 SEMA7A 11.0
AFAP1L2 SHD 11.0
AFAP1L2 SKAP1 11.0
AFAP1L2 SLC40A1 12.0
AFAP1L2 TINAGL1 9.0
AFAP1L2 TINF2 9.0
AFAP1L2 UBASH3A 11.0
AFAP1L2 ZNF587 12.0
AFAP1L2 APBB1IP 12.0
AFAP1L2 APLP2 12.0
AFAP1L2 BCLAF1 11.0
AFAP1L2 CENPM 10.0
AFAP1L2 DDX17 12.0
AFAP1L2 DYNLL2 8.0
AFAP1L2 JUNB 9.0
AFAP1L2 KLF6 12.0
AFAP1L2 LILRB1 10.0
AFAP1L2 LYPD3 9.0
AFAP1L2 PARD6B 12.0
AFAP1L2 ST14 12.0
AFAP1L2 TSPAN12 9.0
AFAP1L2 UPK2 10.0
AFAP1L2 ZFP36 9.0
ALS2CL ALOX5AP 11.0
ALS2CL APBB1IP 11.0
ALS2CL APLP2 10.0
ALS2CL APP 14.0
ALS2CL ARPC1A 14.0
ALS2CL ASCL1 13.0
